Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Seychelles,,,,,,47.29,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,111.72,,,,,,,,,,113.9,,86.73,,,,,,,,,,,
Slovakia,290.2,278.3,252.95,243.11,235.37,236.95,233.61,225.69,223.23,222.12,212.76,207.95,204.63,199.1,202.87,204.27,197.42,195.01,198.02,188.14,191.91,194.5,179.22,184.17,173.67,181.24,183.16,184.65,177.68,172.49,118.13,115.7,181.11,168.67
Slovenia,101.76,97.94,98.62,94.23,94.0,95.08,93.39,94.01,96.1,96.2,99.94,99.01,101.88,100.35,98.3,97.27,95.13,96.18,91.34,87.57,86.31,85.98,84.14,81.91,77.87,80.14,81.66,79.78,77.45,152.11,105.3,105.1,159.72,155.92
Solomon Islands,,,,,,,,,,,201.6,,,,,,,,,,,,,,,,,,,,,,,
South Africa,43114.89,,,,43206.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,15276.09,15751.34,16178.25,16374.71,,,,,,,,
Spain,1424.37,1378.94,1407.05,1401.92,1448.69,1481.77,1552.9,1586.55,1606.77,1651.29,1710.73,1726.56,1732.34,1749.11,1728.95,1690.78,1662.7,1696.35,1636.89,1694.98,1620.99,1625.59,1577.67,1539.59,1516.33,1567.59,1566.01,1583.45,1588.89,1097.25,692.35,648.91,1152.11,848.85
Sri Lanka,,,,16107.0,16022.63,16044.0,,,,,6802.53,,,,,,,,,,,,,,,,,,,,,,,
State of Palestine,,,,,,,,,,,,,,,,,,,,,,802.64,,,,,,,,,,,,
Sudan,,,,,,39774.0,,,,,43986.6,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,861.0,,,,,,,,,,,,,,,,,,,,
Sweden,296.75,296.6,302.0,301.04,298.57,294.68,295.03,292.23,287.93,279.94,273.33,270.42,260.55,252.16,253.21,245.62,241.08,230.6,219.71,213.53,208.66,202.64,195.98,193.13,188.07,183.82,180.44,178.82,175.22,179.57,123.55,120.78,188.55,174.3
Switzerland,241.76,238.92,235.61,231.23,229.2,229.17,226.73,220.78,217.94,214.49,212.26,213.91,212.13,208.92,207.55,208.15,208.81,208.1,210.92,207.24,206.17,203.97,202.83,200.27,200.14,198.96,197.21,194.74,193.6,175.9,120.2,117.62,184.7,170.87
Tajikistan,3696.0,3738.0,3420.9,3402.0,2919.0,2688.0,2520.0,2436.0,2352.0,2268.0,2352.0,2352.0,2415.0,2562.0,2604.0,2751.0,2814.0,2919.0,3297.0,3465.0,3486.0,,,,,,,,,,,,,
Thailand,,,,,65346.81,,,,,,,,,,,,,,,,,,,59520.09,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,548.57,,,,,,,,,,,,,
Togo,,,794.64,820.05,864.36,934.58,936.18,991.2,1115.31,,1108.59,,,,,1362.9,,,,,,,,,,,,,,,,,,
Tonga,,,,,105.84,,,,,,94.36,,,,,,36.27,,,,,,,,,,,,,,,,,
Trinidad and Tobago,686.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,3783.15,,,,,,5811.96,,,,,,,,,,,,,,,,,,,,,,,
Turkey,1696.2,1731.41,1727.72,1718.63,1707.35,1700.12,1714.18,1684.87,1692.51,1747.08,1742.3,1711.8,1634.41,1714.58,1739.57,1806.23,1863.56,1959.27,1995.64,1983.63,2052.77,2147.78,2283.68,2218.76,2292.19,2054.39,2154.33,2169.25,2303.04,1530.53,980.27,946.55,1607.06,1291.62
Turkmenistan,,,,,18794.55,,,,,,24239.76,,,,33262.95,,,,,,27398.95,,,,,,,,,,,,,
Tuvalu,,,,,0.91,,,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,
Uganda,,,,,26652.09,,,,,,9464.28,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,7302.91,6987.77,6670.46,6332.76,5955.37,5545.95,5387.04,5175.34,5026.66,5076.97,4718.11,4660.07,4362.12,4387.22,4261.17,4097.84,4003.52,3996.27,3729.29,3406.46,3382.71,3440.41,3219.3,3007.42,2750.36,2449.44,2639.76,2546.15,2700.8,1838.9,1198.51,1145.59,1930.85,1495.06
United Arab Emirates,,,,,11627.7,,,,,,20958.0,,,,,29925.0,,,,,,,,,10543.89,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,5322.42,5352.46,5339.63,5276.15,5000.29,5060.88,5025.76,4933.52,4792.53,4570.19,4361.47,4165.55,4067.54,3860.17,3685.93,3494.65,3317.09,3161.71,2938.1,2756.59,2569.7,2462.37,2401.75,2242.04,2157.23,2124.96,2061.65,2078.63,2077.45,,,,,
United Republic of Tanzania,20656.83,,,,21634.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,30976.38,31154.42,31110.16,30638.51,30886.43,30599.92,30305.22,29673.34,29067.99,28354.43,28120.44,27826.02,27536.73,27521.25,27268.75,27182.48,27358.15,27426.78,27667.68,27207.91,27293.45,26250.82,25873.21,25698.3,25560.44,25539.31,24969.79,25212.18,25378.29,,,,,
Uruguay,14506.8,,,,16029.3,,,,15735.05,,15283.8,,16221.2,,16514.4,,17011.49,,17323.95,,16146.9,,15720.6,,16240.27,,16588.93,16519.47,,,,,,
Uzbekistan,54188.2,56499.3,56664.1,83492.1,70252.0,71728.6,73620.4,65875.2,62435.3,67279.32,78678.3,81563.21,82604.06,84431.25,83649.54,85929.46,99022.43,99973.06,104570.97,89998.81,86974.71,87895.9,88442.5,,,,,,,,,,,
Vanuatu,,,,,235.21,,,,,,336.84,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),,,,,,,,,,61921.44,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,48893.94,,,,,,63499.59,,,,,,,,,,87316.17,,,84859.32,,,,,,,,,,
Yemen,,,,,,2694.3,,,,,4424.49,,,,,,,,,,7008.75,,7714.83,,,,,,,,,,,
Zambia,,,,,10704.65,,,,,,6567.04,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,7523.49,,,,,,7476.0,,,,,,5363.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
