Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Comoros,,,,,55.44,,,,,,55.77,,,,,,,,,,,,,,,,,,,,,,,
Congo,,,,,583.19,,,,,,501.48,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,10.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,3157.23,,,,,,3688.44,,,,3363.51,,,,,3532.64,,,,,,,,,,,,,,,,,,
Croatia,175.3,169.4,151.04,147.78,140.51,138.85,137.57,136.77,136.06,138.84,137.03,140.35,141.08,148.28,152.47,153.32,158.8,159.78,159.63,162.78,165.81,163.81,161.94,152.49,154.18,157.86,163.4,162.76,155.55,163.85,112.4,110.99,172.04,163.03
Cuba,7318.71,,7317.66,,7194.39,,7393.26,,7450.17,,7682.01,,8365.14,,,,,,,,,,,,,,,,,,,,,
Cyprus,26.46,26.92,27.65,28.63,29.16,30.0,30.68,30.85,30.91,31.04,31.7,32.97,33.94,33.61,33.42,32.74,32.81,32.94,32.87,32.96,33.28,33.48,33.06,32.82,32.83,33.3,34.33,35.01,35.38,143.64,100.78,101.21,152.0,152.6
Czechia,941.12,878.39,824.93,788.63,743.93,726.98,721.07,704.73,677.3,648.15,615.14,605.39,588.52,588.97,572.12,587.01,596.32,578.92,583.78,569.83,577.84,579.12,578.42,555.19,555.14,557.76,539.15,531.21,526.2,161.07,84.84944,98.241005,135.36,124.32
Côte d’Ivoire,,,,,18680.73,,,,,,25147.5,,,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,24801.0,,,,19530.0,,,,,,12222.0,,12621.0,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,40636.68,,,,,36729.0,37498.86,36896.58,36991.71,37293.48,,,,,,,,,,,,,,,,,,,,
Denmark,317.68,325.07,327.85,335.45,330.66,333.56,337.91,333.13,335.23,330.81,327.8,337.42,334.95,335.94,328.77,319.17,315.0,314.02,309.37,304.15,306.7,300.33,296.03,292.34,290.98,288.05,290.12,291.22,294.74,209.37,143.2,138.34,219.84,197.33
Djibouti,,,,,236.04,,,,,,280.29,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,62.58,,,,,,31.65,32.97,32.76,32.55,32.76,32.76,47.97,48.3,49.14,48.3,48.55,54.05,50.06,49.85,50.06,50.08,50.04,52.34,,,,,,
Dominican Republic,3039.75,,,,4659.96,,,,4506.18,,4836.51,,,,,,,,,,9174.71,,,,,,,,,,,,,
Ecuador,13048.77,,,,,,,,,,,,,,,,,,,,11507.76,,11724.49,,,,,,,,,,,
Egypt,22174.74,,,,,,,,,,39433.97,,,,,42316.3,,,,,,,,,,,,,,,,,,
El Salvador,,,,,3107.58,,,,,,,,,,,3360.63,,,,,,,,,,,,,,,,,,
Eritrea,,,,,1581.72,81.27,100.17,122.85,132.72,143.22,3003.0,,,,,,,,,,,,,,,,,,,,,,,
Estonia,76.05,72.91,63.26,53.74,52.06,50.48,51.02,53.17,51.52,47.97,49.52,50.92,49.18,49.28,50.0,48.71,48.25,48.9,48.29,48.91,49.75,48.03,48.73,48.65,47.25,45.87,45.01,45.18,44.7,145.06,101.5,101.96,152.51,152.65
Eswatini,,,,,1347.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,37611.0,38388.0,36960.0,37044.0,31031.45,31900.99,33132.65,49490.2,49979.51,49944.17,48738.06,50759.53,55860.72,55368.63,56312.18,45262.61,46975.78,52187.45,53239.45,55062.21,57701.18,59920.81,60327.04,60729.02,,,,,,,,,,
Fiji,,,,,542.43,,,,,,,,,,514.82,,,,,,,,,,,,,,,,,,,
Finland,307.38,306.66,304.68,306.29,305.1,296.8,293.66,290.36,279.7,272.77,262.45,257.05,248.11,239.88,232.53,222.59,225.54,220.25,214.53,211.87,214.2,207.33,205.13,199.58,195.69,194.26,189.13,184.21,181.63,179.43,123.61,120.92,188.4,173.96
