Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
San Marino,232.19,232.2,232.19,232.18,232.19,232.2,232.19,232.19,232.19,232.18,232.19,232.18,232.19,232.19,232.19,232.18,232.19,232.2,242.37,252.56,262.74,262.73,262.74,262.73,262.74,262.74,262.74,262.75,262.74,8407.08,5189.37,5125.74,8827.43,8550.11
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,109.75,,,,,,,,,,,
Saudi Arabia,138265.5,,,,,,,,,,256720.0,,,,,,,,,,471246.3,,498852.8,,,,,,,,,,,
Senegal,,,,,,,,,,,6788.93,,,,,5078.38,,,,,,,,,,,,,,,,,,
Serbia,62969.97,61424.3,59878.63,58332.96,56787.28,55241.61,53695.94,52150.27,50604.6,50604.59,50604.6,50604.59,50604.6,50604.59,50604.6,50604.59,50604.6,50604.61,50604.6,50604.61,50604.6,50604.59,50604.6,50604.59,50604.6,50604.61,50604.6,50604.59,50604.6,46470.6,27797.22,28025.72,48794.13,45482.1
Seychelles,,,,,,178.73,,,,,260.61,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,319.03,158.33,367.67,262.55,581.63,57.64,67.06,74.6,76.63,87.19,,,,,,,,,,,,,,,,,,
Singapore,,,,,26800.18,,,,,,37755.81,,,,,,,,,,45202.88,,46777.4,,,,,,,,,,,
Slovakia,61633.46,53437.9,49029.14,46484.22,43878.72,44322.41,44186.12,44313.68,44073.14,43200.61,41289.13,43378.3,42112.41,42438.08,42924.75,42910.85,42687.29,41095.11,41503.17,37755.07,38523.22,38111.95,36021.18,35577.84,33654.5,34484.24,34921.79,36087.34,36087.84,39128.92,23663.27,23800.1,41085.37,40948.98
Slovenia,15093.84,14001.24,14006.75,14303.47,14642.67,15254.25,15916.61,16244.92,15961.13,15337.24,15444.9,16378.34,16525.27,16289.03,16651.03,16948.12,17142.53,17281.0,18220.01,16329.78,16376.44,16360.3,15821.76,15188.91,13531.94,13617.54,14416.66,14264.75,14487.84,11119.68,6634.59,6853.85,11675.66,10994.74
Solomon Islands,,,,,294.38,,,,,,191.24,,,,,,,,,,,,,,,,,,,,,,,
South Africa,280931.77,,,,315957.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,1027.94,1603.56,1776.04,1828.72,,,,,,,,
Spain,231213.56,240953.02,249813.19,241195.18,253661.39,267416.72,254795.33,267306.44,276021.58,299498.67,311267.05,313119.84,333379.52,337588.93,354485.58,369492.12,360578.6,368432.7,336624.21,297241.18,283724.99,284543.85,278850.69,252763.82,255100.21,271687.35,260759.56,274671.26,269654.25,236455.77,138683.94,138295.8,248278.56,226716.02
Sri Lanka,,,,4779.0,5748.22,5644.0,,,,,10922.42,,,,,,,,,,,,,,,,,,,,,,,
State of Palestine,,,,,,,,,,,,,,,,,,,,,,1935.59,,,,,,,,,,,,
Sudan,,,,,,4500.0,,,,,6183.0,,,,,,,,,,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,2469.0,,,,,,,,,,,,,,,,,,,,
Sweden,57348.82,57707.22,57451.49,57493.45,59953.81,59366.21,63302.78,58212.55,58696.67,55820.16,54684.43,55617.06,56572.52,57160.57,56475.92,53852.86,53674.27,52940.9,50856.0,47231.12,53042.22,49166.9,46692.01,45086.34,43337.56,43336.76,42972.57,42306.82,41766.18,44184.39,26765.43,26849.85,46393.61,44346.89
Switzerland,44154.42,46133.82,46009.7,43601.02,42675.89,43412.83,44098.82,43037.27,44614.82,44445.84,43617.59,45082.45,43467.6,44651.91,45236.4,45788.23,45373.68,43368.37,44714.31,43534.72,45049.55,40985.52,42254.72,43185.84,39234.43,38733.19,39192.61,38182.27,36895.48,41599.31,25123.84,24999.67,43679.28,42557.01
Tajikistan,17695.0,17134.0,14073.0,11826.0,6694.0,4668.0,3206.0,3326.0,2500.0,2622.0,2538.0,2768.0,2593.0,2768.0,3298.0,2645.0,3474.0,2541.0,2518.0,2011.0,1908.0,,,,,,,,,,,,,
Thailand,,,,,141453.2,,,,,,,,,,,,,,,,,,,242022.61,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,260.84,,,,,,,,,,,,,
Togo,,,825.5,546.9,1033.6,1277.94,1022.8,1088.4,1404.8,,1461.9,,,,,1899.72,,,,,,,,,,,,,,,,,,
Tonga,,,,,79.98,,,,,,94.93,,,,,,113.14,,,,,,,,,,,,,,,,,
Trinidad and Tobago,14987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,17096.5,,,,,,22665.18,,,,,,,,,,,,,,,,,,,,,,,
Turkey,151508.47,157982.0,163922.25,171011.16,167433.11,180903.05,199521.94,212005.57,212040.28,207804.16,229790.6,213486.09,220977.7,236483.89,244464.11,264200.8,281649.18,312736.71,309321.19,315359.64,314380.03,339482.25,353666.21,345220.58,361675.46,381331.94,401239.74,425329.23,419194.75,370544.53,223225.53,224384.84,389071.76,355567.3
Turkmenistan,,,,,15197.68,,,,,,24683.2,,,,25526.06,,,,,,37325.17,,,,,,,,,,,,,
Tuvalu,,,,,4.65,,,,,,,,,,,,,,,,,,,,11.16,,,,,,,,,
Uganda,,,,,730.25,,,,,,1371.0,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,705829.99,632536.63,589060.25,510199.54,419266.3,389864.61,351408.75,340242.69,328578.94,298203.96,285337.2,303559.23,295673.49,307017.47,310362.75,313118.09,332670.34,336364.01,325532.71,277293.5,294078.32,307952.84,303952.61,297294.25,257584.69,223911.87,234200.3,223232.15,231694.16,206799.6,124892.17,125050.63,217139.58,200228.73
United Arab Emirates,,,,,63690.0,,,,,,102707.0,,,,,158438.0,,,,,,,,,188884.9,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,601187.19,609266.0,593745.97,579506.69,575774.6,567507.65,589137.82,563241.84,568512.2,561651.09,568220.06,576926.99,561047.85,572532.25,573994.49,570724.27,568390.05,560205.6,545682.47,495119.49,512864.79,470608.13,488503.55,478608.95,439763.28,423199.62,399824.3,388803.41,380849.88,,,,,
United Republic of Tanzania,3249.37,,,,3225.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States of America,5128300.62,5078889.58,5182706.72,5283437.6,5377032.71,5438905.7,5626911.9,5703706.97,5751051.98,5830297.64,5998070.43,5900436.6,5942652.33,5991959.63,6107618.25,6131892.98,6051051.02,6128429.64,5930539.64,5491035.73,5698055.78,5565294.4,5367568.56,5514029.29,5561719.22,5412432.19,5292267.56,5253606.13,5424881.5,,,,,
Uruguay,3897.33,,,,4267.9,,,,5910.87,,5576.6,,4355.27,,5589.1,,6442.84,,7917.43,,6548.9,,8806.0,,6824.5,,6863.1,6530.0,,,,,,
Uzbekistan,113286.32,113301.74,106305.61,106809.0,101370.9,101021.05,104012.36,102265.9,99999.06,104052.94,108606.83,107876.5,111020.33,106841.01,104822.79,100863.85,103617.94,103446.05,113156.4,107567.39,101762.96,105089.37,105529.24,,,,,,,,,,,
Vanuatu,,,,,55.15,,,,,,69.59,,,,,,,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),,,,,,,,,,114126.0,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,,,,,25382.82,,,,,,55905.72,,,,,,,,,,146036.77,,,156969.31,,,,,,,,,,
Yemen,,,,,,10514.96,,,,,17548.0,,,,,,,,,,22341.0,,23311.94,,,,,,,,,,,
Zambia,,,,,2595.35,,,,,,1685.89,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,17088.48,,,,,,24869.08,,,,,,10995.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
