Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Congo,,,,,673.7,,,,,,1292.15,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,32.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,2749.3,,,,,,4554.7,,,,5104.67,,,,,5989.1,,,,,,,,,,,,,,,,,,
Croatia,23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65,14442.69,8673.47,9138.78,15164.82,14376.14
Cuba,33899.58,,21598.81,,22193.47,,26382.13,,27973.77,,26586.22,,24892.95,,,,,,,,,,,,,,,,,,,,,
Cyprus,4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76,8865.16,5368.65,5355.52,9308.42,9018.22
Czechia,164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21,82519.43,57375.92,51456.29,78583.52,77818.36
Côte d’Ivoire,,,,,4345.77,,,,,,60372.31,,,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,178713.0,,,,133349.0,,,,,,68740.0,,73779.0,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,1447.71,,,,,2488.0,2644.2,2793.0,2651.0,2645.0,,,,,,,,,,,,,,,,,,,,
Denmark,54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932.0,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,44019.46,26775.14,26585.84,46220.43,44543.35
Djibouti,,,,,274.15,,,,,,342.02,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,76.53,,,,,,105.8,117.92,113.27,111.08,110.89,119.06,122.0,128.46,122.45,133.78,141.55,149.81,158.9,161.03,167.24,170.15,169.84,156.85,,,,,,
Dominican Republic,8762.93,,,,15003.05,,,,16423.85,,18416.75,,,,,,,,,,12572.41,,,,,,,,,,,,,
Ecuador,14252.93,,,,,,,,,,,,,,,,,,,,37473.91,,41084.46,,,,,,,,,,,
Egypt,84235.0,,,,,,,,,,128227.95,,,,,169249.7,,,,,,,,,,,,,,,,,,
El Salvador,,,,,4514.65,,,,,,,,,,,6062.27,,,,,,,,,,,,,,,,,,
Eritrea,,,,,719.79,752.02,827.84,732.25,576.1,615.25,621.0,,,,,,,,,,,,,,,,,,,,,,,
Estonia,36907.24,33901.77,24370.46,18910.36,19734.05,18048.83,18759.52,18317.28,16817.25,15653.35,15244.19,15576.73,15090.49,16937.23,17201.01,16921.62,16208.81,19838.56,17668.12,14339.01,18784.96,18855.12,17684.98,19551.95,18755.95,15813.4,17377.65,18635.87,17710.95,13799.68,7988.6,8215.23,14489.66,12651.37
Eswatini,,,,,873.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,2307.0,1879.0,2073.0,2401.0,2359.14,2238.27,2457.35,2895.98,2995.43,3164.82,3437.9,4250.98,4464.75,5027.51,5289.29,6589.51,6352.01,9066.91,8339.15,9004.12,11134.35,9522.03,9655.41,10143.08,,,,,,,,,,
